API Well Number,County,Company Name,API Hole Number,Well Name,Town,Producing Formation,Months in Production,Gas Produced MCF,Water Produced bbl,Reporting Year;
31013177150000,13,REI-NY_ Inc.,17715,Piazza 3,Gerry,Medina,0,1568,1,1989;
31013208450000,13,Skubis_ Daniel J.,20845,S. Skubis #1,Pomfret,Medina,12,2691,0,1990;
31011168440000,11,Dunn_ Walter J,16844,Dunn 1,Scipio,Queenston,12,0,0,1991;
31013120450000,13,20 Bliss Street_ Inc.,12045,Plank 1,Pomfret,Medina,12,2540,0,1991;
31013112810000,13,Belden & Blake Corporation,11281,Morse 2,Pomfret,Medina,0,0,0,1991;
31013120450000,13,20 Bliss Street_ Inc.,12045,Plank 1,Pomfret,Medina,12,2596,0,1993;
31029144660000,29,Robnett_ William F.,14466,Robnett 1,Newstead,Medina,0,0,0,1993;
31013120450000,13,20 Bliss Street_ Inc.,12045,Plank 1,Pomfret,Medina,12,2591,0,1994;
31013117210000,13,Gloor_ Robert,11721,Gloor 1,Pomfret,Medina,12,0,0,1995;
31011168440000,11,Dunn_ Walter J,16844,Dunn 1,Scipio,Queenston,12,0,0,1997;
31013188790000,13,Emke_ Diane,18879,Emke_ D #6327,Villenova,Medina,0,0,0,1997;
31013119180000,13,20 Bliss Street_ Inc.,11918,Civiletto 1,Pomfret,Medina,0,0,0,1999;
31013108830000,13,Lenape Resources_ Inc.,10883,Longhouse 64,Pomfret,Medina,0,0,0,1985;
31013116780000,13,Belden & Blake Corporation,11678,Joy 1259 #1,Pomfret,Medina,12,1783,0,1986;
31013603310000,13,Seneca Resources Corp.,60331,Hall 31947-I,Pomfret,Medina,12,2958,0,1989;
31013121300000,13,Belden & Blake Corporation,12130,Beebe 1232,Pomfret,Medina,12,2483,0,1989;
31011175170000,11,OI Auburn_ Inc.,17517,Fuller A118-6,Aurelius,Queenston,12,11210,0,1987;
31013093550000,13,Meridian Exploration Corp.,9355,Newman James 1,Pomfret,Medina,8,2849,0,1986;
31011174420000,11,F & G Exploration,17442,Dougherty 1,Springport,Queenston,12,7349,0,1987;
31011135890000,11,OI Auburn_ Inc.,13589,Shank Sp100-1,Springport,Queenston,12,6736,0,1989;
31013204060000,13,Chautauqua Energy_  Inc.,20406,ABC Paving #1,Pomfret,Medina,12,6044,0,1989;
31013185860000,13,Lenape Resources_ Inc.,18586,McNamara #2,Villenova,Medina,7,4877,0,1986;
31013131570000,13,Desert Gas Exploration_ Inc.,13157,McPherson#1,Pomfret,Medina,0,14216,0,1986;
31013113580000,13,Belden & Blake Corporation,11358,Vinciaguerra 1206,Pomfret,Medina,0,0,0,1987;
31009211140000,9,Fault Line Oil Corp.,21114,Titus #1a,Yorkshire,Medina,0,0,0,1988;
31013130500000,13,Desert Gas Exploration_ Inc.,13050,Newton #2,Pomfret,Medina,0,1053,0,1986;
31011204220000,11,F & G Exploration,20422,Bacon J 2,Springport,Queenston,12,46988,0,1987;
31013098700000,13,Belden & Blake Corporation,9870,Nickerson 9,Pomfret,Medina,12,4966,44,1987;
31013113090000,13,Belden & Blake Corporation,11309,Jopek 1,Pomfret,Medina,12,4022,17,1987;
31013143260000,13,J.M. Resources_ Inc.,14326,Lepp #4,Pomfret,Medina,12,4502,80,1987;
31013122140000,13,Belden & Blake Corporation,12214,Siebert 1360,Pomfret,Medina,2,765,0,1987;
31051151880000,51,Howe_ Thomas L.,15188,Smith 1,Portage,Medina,0,0,0,1987;
31013104170000,13,Belden & Blake Corporation,10417,Lesch 8,Pomfret,Medina,0,0,0,1988;
31013121020000,13,Belden & Blake Corporation,12102,Wick 1317,Hanover,Medina,10,745,0,1989;
31029199870000,29,Stedman Energy_ Inc.,19987,Gugino #3,Brant,Medina,12,3052,20,1989;
31013183990000,13,Nornew_ Inc.,18399,Ziebart #1,North Harmony,None Specified,0,0,0,1987;
31011135530000,11,OI Auburn_ Inc.,13553,Pollard A1098,Aurelius,Queenston,12,3790,0,1988;
31013185660000,13,Lenape Resources_ Inc.,18566,Erwin 654,Ripley,Medina,11,3011,91,1988;
31011135880000,11,OI Auburn_ Inc.,13588,Shank Sp100-2,Springport,Queenston,12,6352,0,1989;
31011115440000,11,OI Auburn_ Inc.,11544,Simmons A131-V4,Aurelius,Queenston,12,4471,0,1989;
31013109930000,13,Lenape Resources_ Inc.,10993,Dpotter #1182,Pomfret,Medina,0,0,0,1989;
31013014800000,13,Harp_ J. Stephen,1480,Sullivan J.A. #2 #2027-I,Pomfret,Medina,11,580,0,1991;
31013129890000,13,Desert Gas Exploration_ Inc.,12989,Costello #1,Pomfret,Medina,11,0,0,1991;
31013208000000,13,GFS Energy_ Inc.,20800,Crowell Unit #3,Villenova,Medina,6,1475,0,1990;
31013121520000,13,20 Bliss Street_ Inc.,12152,Walker #1(16),Pomfret,Medina,12,247,0,1991;
31013051290000,13,Great Lakes Energy Partners,5129,Leone #1,Pomfret,Medina,12,2020,0,1991;
31013049860000,13,Seneca Resources Corp.,4986,McGraw #1,Pomfret,Medina,12,5367,0,1991;
31013117840000,13,Belden & Blake Corporation,11784,Stafford 1292,Pomfret,Medina,10,7892,0,1990;
31013141740000,13,Stedman Energy_ Inc.,14174,Parker #1,Chautauqua,Medina,12,2378,0,1990;
31011179530000,11,F & G Exploration,17953,Rice 1,Springport,Queenston,12,4440,0,1990;
31013137920000,13,L. W. Resources,13792,Feinen #2,Sheridan,Medina,0,0,0,1990;
31013193510000,13,Seneca Resources Corp.,19351,Nagel #6451,Villenova,Medina,12,4828,13,1992;
31013124340000,13,Resource America_ Inc.,12434,Cowles #2,North Harmony,Medina,0,0,0,1990;
31013114690000,13,Belden & Blake Corporation,11469,Christy 1222a,Pomfret,Medina,10,1526,0,1990;
31003676240000,3,Rigas_ Constantine J.,67624,Blaisdell #2,Ward,Upper Devonian,12,120,0,1991;
31013115620000,13,Belden & Blake Corporation,11562,Bemus 214,Pomfret,Medina,0,0,0,1991;
31013129880000,13,Desert Gas Exploration_ Inc.,12988,Castilone #1,Pomfret,Medina,11,0,0,1991;
31013104480000,13,Lenape Resources_ Inc.,10448,Gullo #1117,Pomfret,Medina,12,1380,5,1992;
31011174420000,11,F & G Exploration,17442,Dougherty 1,Springport,Queenston,12,5530,0,1990;
31011204360000,11,F & G Exploration,20436,Bacon 1,Aurelius,Queenston,12,9677,0,1990;
31013154080000,13,Belden & Blake Corporation,15408,Olmstead_ H #2,Gerry,Medina,12,2898,25,1993;
31011179530000,11,F & G Exploration,17953,Rice 1,Springport,Queenston,12,3939,0,1994;
31013218770000,13,Seneca Resources Corp.,21877,Dayton #7000,Villenova,Medina,12,2651,0,1994;
31013115380000,13,Lenape Resources_ Inc.,11538,Dorman G&M #1237,Pomfret,Medina,11,1461,0,1993;
31013104480000,13,Lenape Resources_ Inc.,10448,Gullo #1117,Pomfret,Medina,9,1236,0,1993;
31013031680000,13,Seneca Resources Corp.,3168,Civilett N. #2023-I,Pomfret,Medina,11,2402,0,1993;
31013135750000,13,Belden & Blake Corporation,13575,Bull 1212,Pomfret,Medina,11,1806,0,1993;
31013112810000,13,Belden & Blake Corporation,11281,Morse 2,Pomfret,Medina,12,2517,107,1994;
31011168440000,11,Dunn_ Walter J,16844,Dunn 1,Scipio,Queenston,12,0,0,1994;
31003103170000,3,Rigas_ Constantine J.,10317,Blaisdell #1,Ward,Upper Devonian,12,70,0,1994;
